db_reference|evidence|label|qualifier|source|source_id|source_type|source_url|target_id|target_type
"[""GO_REF:0000043""]"|IEA|enables|"[""enables""]"|GOA|ENSG00000177144|gene|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0003723|molecular_function
"[""GO_REF:0000043""]"|IEA|enables|"[""enables""]"|GOA|ENSG00000177144|gene|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0046872|molecular_function
"[""PMID:21081917""]"|IPI|enables|"[""enables""]"|GOA|ENSG00000211809|gene|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0005515|molecular_function
"[""PMID:35044719""]"|IPI|enables|"[""enables""]"|GOA|ENSG00000271383|gene|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0005515|molecular_function
"[""GO_REF:0000043""]"|IEA|enables|"[""enables""]"|GOA|ENSG00000233757|gene|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0046872|molecular_function
"[""GO_REF:0000002""]"|IEA|enables|"[""enables""]"|GOA|ENSG00000205702|gene|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0005506|molecular_function
"[""PMID:15051713""]"|IDA|enables|"[""enables""]"|GOA|ENSG00000205702|gene|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0070330|molecular_function
"[""GO_REF:0000002""]"|IEA|enables|"[""enables""]"|GOA|ENSG00000286106|gene|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0005509|molecular_function
"[""GO_REF:0000002""]"|IEA|enables|"[""enables""]"|GOA|ENSG00000260220|gene|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0008017|molecular_function
"[""GO_REF:0000043""]"|IEA|enables|"[""enables""]"|GOA|ENSG00000279408|gene|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0004930|molecular_function
"[""GO_REF:0000002""]"|IEA|enables|"[""enables""]"|GOA|ENSG00000279408|gene|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0004984|molecular_function
"[""PMID:6440030""]"|NAS|enables|"[""enables""]"|GOA|ENSG00000211799|gene|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0042287|molecular_function
"[""PMID:6440030""]"|NAS|enables|"[""enables""]"|GOA|ENSG00000211799|gene|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0042605|molecular_function
"[""GO_REF:0000002""]"|IEA|enables|"[""enables""]"|GOA|ENSG00000255552|gene|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0004675|molecular_function
"[""PMID:31653868""]"|IPI|enables|"[""enables""]"|GOA|ENSG00000225973|gene|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0005515|molecular_function
"[""PMID:29983246""]"|IDA|enables|"[""enables""]"|GOA|ENSG00000211459|gene|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0003677|molecular_function
"[""PMID:29983246""]"|IPI|enables|"[""enables""]"|GOA|ENSG00000211459|gene|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0140297|molecular_function
"[""GO_REF:0000043""]"|IEA|enables|"[""enables""]"|GOA|ENSG00000282815|gene|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0046872|molecular_function
"[""GO_REF:0000043""]"|IEA|enables|"[""enables""]"|GOA|ENSG00000282419|gene|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0046872|molecular_function
"[""PMID:26221034""]"|IPI|enables|"[""enables""]"|GOA|ENSG00000284690|gene|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0005515|molecular_function
"[""GO_REF:0000002""]"|IEA|enables|"[""enables""]"|GOA|ENSG00000255151|gene|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0047961|molecular_function
"[""PMID:32296183""]"|IPI|enables|"[""enables""]"|GOA|ENSG00000263201|gene|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0005515|molecular_function
"[""GO_REF:0000043""]"|IEA|enables|"[""enables""]"|GOA|ENSG00000283039|gene|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0046872|molecular_function
"[""GO_REF:0000002""]"|IEA|enables|"[""enables""]"|GOA|ENSG00000223591|gene|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0016846|molecular_function
"[""GO_REF:0000043""]"|IEA|enables|"[""enables""]"|GOA|ENSG00000223591|gene|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0046872|molecular_function
"[""PMID:27918561""]"|IPI|enables|"[""enables""]"|GOA|ENSG00000204272|gene|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0005515|molecular_function
"[""GO_REF:0000002""]"|IEA|enables|"[""enables""]"|GOA|ENSG00000224109|gene|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0016846|molecular_function
"[""GO_REF:0000043""]"|IEA|enables|"[""enables""]"|GOA|ENSG00000224109|gene|http://geneontology.org/gene-associations/goa_human.gaf.gz|GO_0046872|molecular_function
