# Interactor 1 uniprot id	Interactor 1 Ensembl gene id	Interactor 1 Entrez Gene id	Interactor 2 uniprot id	Interactor 2 Ensembl gene id	Interactor 2 Entrez Gene id	Interaction type	Interaction context	Pubmed references
uniprotkb:P07900	ENSEMBL:ENSG00000080824|ENSEMBL:ENST00000216281|ENSEMBL:ENST00000334701|ENSEMBL:ENSP00000335153|ENSEMBL:ENSP00000216281	-	uniprotkb:O95613	ENSEMBL:ENST00000480896|ENSEMBL:ENST00000359568|ENSEMBL:ENSP00000352572|ENSEMBL:ENSP00000511989|ENSEMBL:ENSG00000160299	-	physical association	reactome:R-HSA-9625170	24243840
uniprotkb:P08238	ENSEMBL:ENSG00000096384|ENSEMBL:ENST00000620073|ENSEMBL:ENST00000371646|ENSEMBL:ENST00000371554|ENSEMBL:ENST00000353801|ENSEMBL:ENSP00000325875|ENSEMBL:ENSP00000360709|ENSEMBL:ENSP00000360609|ENSEMBL:ENSP00000481908	-	uniprotkb:P13569	ENSEMBL:ENSG00000001626|ENSEMBL:ENST00000003084|ENSEMBL:ENST00000649781|ENSEMBL:ENSP00000003084|ENSEMBL:ENSP00000497203	-	physical association	reactome:R-HSA-9625170	24243840
uniprotkb:P08238	ENSEMBL:ENSG00000096384|ENSEMBL:ENST00000620073|ENSEMBL:ENST00000371646|ENSEMBL:ENST00000371554|ENSEMBL:ENST00000353801|ENSEMBL:ENSP00000325875|ENSEMBL:ENSP00000360709|ENSEMBL:ENSP00000360609|ENSEMBL:ENSP00000481908	-	uniprotkb:Q12798	ENSEMBL:ENST00000327228|ENSEMBL:ENSP00000319052|ENSEMBL:ENSG00000177143	-	physical association	reactome:R-HSA-9625170	24243840
uniprotkb:P08238	ENSEMBL:ENSG00000096384|ENSEMBL:ENST00000620073|ENSEMBL:ENST00000371646|ENSEMBL:ENST00000371554|ENSEMBL:ENST00000353801|ENSEMBL:ENSP00000325875|ENSEMBL:ENSP00000360709|ENSEMBL:ENSP00000360609|ENSEMBL:ENSP00000481908	-	uniprotkb:O60664	ENSEMBL:ENST00000221957|ENSEMBL:ENST00000592528|ENSEMBL:ENSG00000105355|ENSEMBL:ENSP00000221957|ENSEMBL:ENSP00000467803|ENSEMBL:ENSP00000465596|ENSEMBL:ENST00000585479	-	physical association	reactome:R-HSA-9625170	24243840
uniprotkb:P08238	ENSEMBL:ENSG00000096384|ENSEMBL:ENST00000620073|ENSEMBL:ENST00000371646|ENSEMBL:ENST00000371554|ENSEMBL:ENST00000353801|ENSEMBL:ENSP00000325875|ENSEMBL:ENSP00000360709|ENSEMBL:ENSP00000360609|ENSEMBL:ENSP00000481908	-	uniprotkb:Q99541	ENSEMBL:ENST00000276914|ENSEMBL:ENSP00000276914|ENSEMBL:ENSG00000147872	-	physical association	reactome:R-HSA-9625170	24243840
uniprotkb:P07900	ENSEMBL:ENSG00000080824|ENSEMBL:ENST00000216281|ENSEMBL:ENST00000334701|ENSEMBL:ENSP00000335153|ENSEMBL:ENSP00000216281	-	uniprotkb:Q9UBN7	ENSEMBL:ENSP00000496013|ENSEMBL:ENST00000423941|ENSEMBL:ENST00000643374|ENSEMBL:ENST00000376643|ENSEMBL:ENST00000440653|ENSEMBL:ENST00000376619|ENSEMBL:ENST00000644068|ENSEMBL:ENST00000334136|ENSEMBL:ENST00000376610|ENSEMBL:ENST00000443563|ENSEMBL:ENSP00000365804|ENSEMBL:ENSP00000392815|ENSEMBL:ENSP00000394377|ENSEMBL:ENSP00000334061|ENSEMBL:ENSP00000402751|ENSEMBL:ENSG00000094631|ENSEMBL:ENSP00000365831|ENSEMBL:ENSP00000365795|ENSEMBL:ENSP00000496046	-	physical association	reactome:R-HSA-9625170	24243840
uniprotkb:P07900	ENSEMBL:ENSG00000080824|ENSEMBL:ENST00000216281|ENSEMBL:ENST00000334701|ENSEMBL:ENSP00000335153|ENSEMBL:ENSP00000216281	-	uniprotkb:P08670	ENSEMBL:ENSG00000026025|ENSEMBL:ENST00000544301|ENSEMBL:ENST00000224237|ENSEMBL:ENSP00000224237|ENSEMBL:ENSP00000446007	-	physical association	reactome:R-HSA-9625170	24243840
uniprotkb:P08238	ENSEMBL:ENSG00000096384|ENSEMBL:ENST00000620073|ENSEMBL:ENST00000371646|ENSEMBL:ENST00000371554|ENSEMBL:ENST00000353801|ENSEMBL:ENSP00000325875|ENSEMBL:ENSP00000360709|ENSEMBL:ENSP00000360609|ENSEMBL:ENSP00000481908	-	uniprotkb:P07998	ENSEMBL:ENSG00000129538|ENSEMBL:ENSP00000399493|ENSEMBL:ENSP00000381057|ENSEMBL:ENSP00000381060|ENSEMBL:ENSP00000344193|ENSEMBL:ENST00000412779|ENSEMBL:ENST00000397967|ENSEMBL:ENST00000397970|ENSEMBL:ENST00000340900	-	physical association	reactome:R-HSA-9625170	24243840
uniprotkb:P07900	ENSEMBL:ENSG00000080824|ENSEMBL:ENST00000216281|ENSEMBL:ENST00000334701|ENSEMBL:ENSP00000335153|ENSEMBL:ENSP00000216281	-	uniprotkb:P07998	ENSEMBL:ENSG00000129538|ENSEMBL:ENSP00000399493|ENSEMBL:ENSP00000381057|ENSEMBL:ENSP00000381060|ENSEMBL:ENSP00000344193|ENSEMBL:ENST00000412779|ENSEMBL:ENST00000397967|ENSEMBL:ENST00000397970|ENSEMBL:ENST00000340900	-	physical association	reactome:R-HSA-9625170	24243840
uniprotkb:P08238	ENSEMBL:ENSG00000096384|ENSEMBL:ENST00000620073|ENSEMBL:ENST00000371646|ENSEMBL:ENST00000371554|ENSEMBL:ENST00000353801|ENSEMBL:ENSP00000325875|ENSEMBL:ENSP00000360709|ENSEMBL:ENSP00000360609|ENSEMBL:ENSP00000481908	-	uniprotkb:Q9UBN7	ENSEMBL:ENSP00000496013|ENSEMBL:ENST00000423941|ENSEMBL:ENST00000643374|ENSEMBL:ENST00000376643|ENSEMBL:ENST00000440653|ENSEMBL:ENST00000376619|ENSEMBL:ENST00000644068|ENSEMBL:ENST00000334136|ENSEMBL:ENST00000376610|ENSEMBL:ENST00000443563|ENSEMBL:ENSP00000365804|ENSEMBL:ENSP00000392815|ENSEMBL:ENSP00000394377|ENSEMBL:ENSP00000334061|ENSEMBL:ENSP00000402751|ENSEMBL:ENSG00000094631|ENSEMBL:ENSP00000365831|ENSEMBL:ENSP00000365795|ENSEMBL:ENSP00000496046	-	physical association	reactome:R-HSA-9625170	24243840
uniprotkb:P08238	ENSEMBL:ENSG00000096384|ENSEMBL:ENST00000620073|ENSEMBL:ENST00000371646|ENSEMBL:ENST00000371554|ENSEMBL:ENST00000353801|ENSEMBL:ENSP00000325875|ENSEMBL:ENSP00000360709|ENSEMBL:ENSP00000360609|ENSEMBL:ENSP00000481908	-	uniprotkb:P08670	ENSEMBL:ENSG00000026025|ENSEMBL:ENST00000544301|ENSEMBL:ENST00000224237|ENSEMBL:ENSP00000224237|ENSEMBL:ENSP00000446007	-	physical association	reactome:R-HSA-9625170	24243840
uniprotkb:P07900	ENSEMBL:ENSG00000080824|ENSEMBL:ENST00000216281|ENSEMBL:ENST00000334701|ENSEMBL:ENSP00000335153|ENSEMBL:ENSP00000216281	-	uniprotkb:Q3SXY8	ENSEMBL:ENSG00000169379|ENSEMBL:ENST00000471138|ENSEMBL:ENST00000303097|ENSEMBL:ENST00000394222|ENSEMBL:ENST00000535334|ENSEMBL:ENSP00000445145|ENSEMBL:ENSP00000377769|ENSEMBL:ENSP00000306225|ENSEMBL:ENSP00000420780	-	physical association	reactome:R-HSA-9625170	24243840
uniprotkb:P07900	ENSEMBL:ENSG00000080824|ENSEMBL:ENST00000216281|ENSEMBL:ENST00000334701|ENSEMBL:ENSP00000335153|ENSEMBL:ENSP00000216281	-	uniprotkb:Q3SXY8	ENSEMBL:ENSG00000169379|ENSEMBL:ENST00000471138|ENSEMBL:ENST00000303097|ENSEMBL:ENST00000394222|ENSEMBL:ENST00000535334|ENSEMBL:ENSP00000445145|ENSEMBL:ENSP00000377769|ENSEMBL:ENSP00000306225|ENSEMBL:ENSP00000420780	-	physical association	reactome:R-HSA-9624156	18644871|20797626
uniprotkb:P07900	ENSEMBL:ENSG00000080824|ENSEMBL:ENST00000216281|ENSEMBL:ENST00000334701|ENSEMBL:ENSP00000335153|ENSEMBL:ENSP00000216281	-	uniprotkb:O60664	ENSEMBL:ENST00000221957|ENSEMBL:ENST00000592528|ENSEMBL:ENSG00000105355|ENSEMBL:ENSP00000221957|ENSEMBL:ENSP00000467803|ENSEMBL:ENSP00000465596|ENSEMBL:ENST00000585479	-	physical association	reactome:R-HSA-9624156	18644871|20797626
uniprotkb:P08238	ENSEMBL:ENSG00000096384|ENSEMBL:ENST00000620073|ENSEMBL:ENST00000371646|ENSEMBL:ENST00000371554|ENSEMBL:ENST00000353801|ENSEMBL:ENSP00000325875|ENSEMBL:ENSP00000360709|ENSEMBL:ENSP00000360609|ENSEMBL:ENSP00000481908	-	uniprotkb:Q99497	ENSEMBL:ENSG00000116288|ENSEMBL:ENST00000377491|ENSEMBL:ENST00000493678|ENSEMBL:ENST00000377488|ENSEMBL:ENST00000338639|ENSEMBL:ENST00000493373|ENSEMBL:ENSP00000465404|ENSEMBL:ENSP00000418770|ENSEMBL:ENSP00000366711|ENSEMBL:ENSP00000340278|ENSEMBL:ENSP00000366708	-	physical association	reactome:R-HSA-9624156	18644871|20797626
uniprotkb:P08238	ENSEMBL:ENSG00000096384|ENSEMBL:ENST00000620073|ENSEMBL:ENST00000371646|ENSEMBL:ENST00000371554|ENSEMBL:ENST00000353801|ENSEMBL:ENSP00000325875|ENSEMBL:ENSP00000360709|ENSEMBL:ENSP00000360609|ENSEMBL:ENSP00000481908	-	uniprotkb:Q3SXY8	ENSEMBL:ENSG00000169379|ENSEMBL:ENST00000471138|ENSEMBL:ENST00000303097|ENSEMBL:ENST00000394222|ENSEMBL:ENST00000535334|ENSEMBL:ENSP00000445145|ENSEMBL:ENSP00000377769|ENSEMBL:ENSP00000306225|ENSEMBL:ENSP00000420780	-	physical association	reactome:R-HSA-9624156	18644871|20797626
uniprotkb:P08238	ENSEMBL:ENSG00000096384|ENSEMBL:ENST00000620073|ENSEMBL:ENST00000371646|ENSEMBL:ENST00000371554|ENSEMBL:ENST00000353801|ENSEMBL:ENSP00000325875|ENSEMBL:ENSP00000360709|ENSEMBL:ENSP00000360609|ENSEMBL:ENSP00000481908	-	uniprotkb:O60664	ENSEMBL:ENST00000221957|ENSEMBL:ENST00000592528|ENSEMBL:ENSG00000105355|ENSEMBL:ENSP00000221957|ENSEMBL:ENSP00000467803|ENSEMBL:ENSP00000465596|ENSEMBL:ENST00000585479	-	physical association	reactome:R-HSA-9624156	18644871|20797626
uniprotkb:P08238	ENSEMBL:ENSG00000096384|ENSEMBL:ENST00000620073|ENSEMBL:ENST00000371646|ENSEMBL:ENST00000371554|ENSEMBL:ENST00000353801|ENSEMBL:ENSP00000325875|ENSEMBL:ENSP00000360709|ENSEMBL:ENSP00000360609|ENSEMBL:ENSP00000481908	-	uniprotkb:P13473	ENSEMBL:ENST00000371335|ENSEMBL:ENST00000200639|ENSEMBL:ENST00000434600|ENSEMBL:ENSP00000408411|ENSEMBL:ENSP00000200639|ENSEMBL:ENSP00000360386|ENSEMBL:ENSG00000005893	-	physical association	reactome:R-HSA-9624156	18644871|20797626
uniprotkb:P07900	ENSEMBL:ENSG00000080824|ENSEMBL:ENST00000216281|ENSEMBL:ENST00000334701|ENSEMBL:ENSP00000335153|ENSEMBL:ENSP00000216281	-	uniprotkb:Q9UBN7	ENSEMBL:ENSP00000496013|ENSEMBL:ENST00000423941|ENSEMBL:ENST00000643374|ENSEMBL:ENST00000376643|ENSEMBL:ENST00000440653|ENSEMBL:ENST00000376619|ENSEMBL:ENST00000644068|ENSEMBL:ENST00000334136|ENSEMBL:ENST00000376610|ENSEMBL:ENST00000443563|ENSEMBL:ENSP00000365804|ENSEMBL:ENSP00000392815|ENSEMBL:ENSP00000394377|ENSEMBL:ENSP00000334061|ENSEMBL:ENSP00000402751|ENSEMBL:ENSG00000094631|ENSEMBL:ENSP00000365831|ENSEMBL:ENSP00000365795|ENSEMBL:ENSP00000496046	-	physical association	reactome:R-HSA-9624156	18644871|20797626
uniprotkb:P07900	ENSEMBL:ENSG00000080824|ENSEMBL:ENST00000216281|ENSEMBL:ENST00000334701|ENSEMBL:ENSP00000335153|ENSEMBL:ENSP00000216281	-	uniprotkb:P08670	ENSEMBL:ENSG00000026025|ENSEMBL:ENST00000544301|ENSEMBL:ENST00000224237|ENSEMBL:ENSP00000224237|ENSEMBL:ENSP00000446007	-	physical association	reactome:R-HSA-9624156	18644871|20797626
uniprotkb:P08238	ENSEMBL:ENSG00000096384|ENSEMBL:ENST00000620073|ENSEMBL:ENST00000371646|ENSEMBL:ENST00000371554|ENSEMBL:ENST00000353801|ENSEMBL:ENSP00000325875|ENSEMBL:ENSP00000360709|ENSEMBL:ENSP00000360609|ENSEMBL:ENSP00000481908	-	uniprotkb:Q99541	ENSEMBL:ENST00000276914|ENSEMBL:ENSP00000276914|ENSEMBL:ENSG00000147872	-	physical association	reactome:R-HSA-9624156	18644871|20797626
uniprotkb:P07900	ENSEMBL:ENSG00000080824|ENSEMBL:ENST00000216281|ENSEMBL:ENST00000334701|ENSEMBL:ENSP00000335153|ENSEMBL:ENSP00000216281	-	uniprotkb:P08238	ENSEMBL:ENSG00000096384|ENSEMBL:ENST00000620073|ENSEMBL:ENST00000371646|ENSEMBL:ENST00000371554|ENSEMBL:ENST00000353801|ENSEMBL:ENSP00000325875|ENSEMBL:ENSP00000360709|ENSEMBL:ENSP00000360609|ENSEMBL:ENSP00000481908	-	physical association	reactome:R-HSA-9624156	18644871|20797626
uniprotkb:P07900	ENSEMBL:ENSG00000080824|ENSEMBL:ENST00000216281|ENSEMBL:ENST00000334701|ENSEMBL:ENSP00000335153|ENSEMBL:ENSP00000216281	-	uniprotkb:P13569	ENSEMBL:ENSG00000001626|ENSEMBL:ENST00000003084|ENSEMBL:ENST00000649781|ENSEMBL:ENSP00000003084|ENSEMBL:ENSP00000497203	-	physical association	reactome:R-HSA-9624156	18644871|20797626
uniprotkb:P08238	ENSEMBL:ENSG00000096384|ENSEMBL:ENST00000620073|ENSEMBL:ENST00000371646|ENSEMBL:ENST00000371554|ENSEMBL:ENST00000353801|ENSEMBL:ENSP00000325875|ENSEMBL:ENSP00000360709|ENSEMBL:ENSP00000360609|ENSEMBL:ENSP00000481908	-	uniprotkb:P68871	ENSEMBL:ENSG00000244734|ENSEMBL:ENSP00000333994|ENSEMBL:ENSP00000494175|ENSEMBL:ENST00000335295|ENSEMBL:ENST00000647020	-	physical association	reactome:R-HSA-9624156	18644871|20797626
uniprotkb:P08238	ENSEMBL:ENSG00000096384|ENSEMBL:ENST00000620073|ENSEMBL:ENST00000371646|ENSEMBL:ENST00000371554|ENSEMBL:ENST00000353801|ENSEMBL:ENSP00000325875|ENSEMBL:ENSP00000360709|ENSEMBL:ENSP00000360609|ENSEMBL:ENSP00000481908	-	uniprotkb:P08238	ENSEMBL:ENSG00000096384|ENSEMBL:ENST00000620073|ENSEMBL:ENST00000371646|ENSEMBL:ENST00000371554|ENSEMBL:ENST00000353801|ENSEMBL:ENSP00000325875|ENSEMBL:ENSP00000360709|ENSEMBL:ENSP00000360609|ENSEMBL:ENSP00000481908	-	physical association	reactome:R-HSA-9624156	18644871|20797626
uniprotkb:P08238	ENSEMBL:ENSG00000096384|ENSEMBL:ENST00000620073|ENSEMBL:ENST00000371646|ENSEMBL:ENST00000371554|ENSEMBL:ENST00000353801|ENSEMBL:ENSP00000325875|ENSEMBL:ENSP00000360709|ENSEMBL:ENSP00000360609|ENSEMBL:ENSP00000481908	-	uniprotkb:P08670	ENSEMBL:ENSG00000026025|ENSEMBL:ENST00000544301|ENSEMBL:ENST00000224237|ENSEMBL:ENSP00000224237|ENSEMBL:ENSP00000446007	-	physical association	reactome:R-HSA-9624156	18644871|20797626
uniprotkb:P07900	ENSEMBL:ENSG00000080824|ENSEMBL:ENST00000216281|ENSEMBL:ENST00000334701|ENSEMBL:ENSP00000335153|ENSEMBL:ENSP00000216281	-	uniprotkb:Q99541	ENSEMBL:ENST00000276914|ENSEMBL:ENSP00000276914|ENSEMBL:ENSG00000147872	-	physical association	reactome:R-HSA-9624156	18644871|20797626
uniprotkb:P08238	ENSEMBL:ENSG00000096384|ENSEMBL:ENST00000620073|ENSEMBL:ENST00000371646|ENSEMBL:ENST00000371554|ENSEMBL:ENST00000353801|ENSEMBL:ENSP00000325875|ENSEMBL:ENSP00000360709|ENSEMBL:ENSP00000360609|ENSEMBL:ENSP00000481908	-	uniprotkb:P07998	ENSEMBL:ENSG00000129538|ENSEMBL:ENSP00000399493|ENSEMBL:ENSP00000381057|ENSEMBL:ENSP00000381060|ENSEMBL:ENSP00000344193|ENSEMBL:ENST00000412779|ENSEMBL:ENST00000397967|ENSEMBL:ENST00000397970|ENSEMBL:ENST00000340900	-	physical association	reactome:R-HSA-9624156	18644871|20797626
uniprotkb:P08238	ENSEMBL:ENSG00000096384|ENSEMBL:ENST00000620073|ENSEMBL:ENST00000371646|ENSEMBL:ENST00000371554|ENSEMBL:ENST00000353801|ENSEMBL:ENSP00000325875|ENSEMBL:ENSP00000360709|ENSEMBL:ENSP00000360609|ENSEMBL:ENSP00000481908	-	uniprotkb:P13569	ENSEMBL:ENSG00000001626|ENSEMBL:ENST00000003084|ENSEMBL:ENST00000649781|ENSEMBL:ENSP00000003084|ENSEMBL:ENSP00000497203	-	physical association	reactome:R-HSA-9624156	18644871|20797626
uniprotkb:P07900	ENSEMBL:ENSG00000080824|ENSEMBL:ENST00000216281|ENSEMBL:ENST00000334701|ENSEMBL:ENSP00000335153|ENSEMBL:ENSP00000216281	-	uniprotkb:P68871	ENSEMBL:ENSG00000244734|ENSEMBL:ENSP00000333994|ENSEMBL:ENSP00000494175|ENSEMBL:ENST00000335295|ENSEMBL:ENST00000647020	-	physical association	reactome:R-HSA-9624156	18644871|20797626
uniprotkb:P07900	ENSEMBL:ENSG00000080824|ENSEMBL:ENST00000216281|ENSEMBL:ENST00000334701|ENSEMBL:ENSP00000335153|ENSEMBL:ENSP00000216281	-	uniprotkb:Q13099	ENSEMBL:ENSG00000032742|ENSEMBL:ENSP00000323580|ENSEMBL:ENSP00000261632|ENSEMBL:ENST00000351808|ENSEMBL:ENST00000319980	-	physical association	reactome:R-HSA-9624156	18644871|20797626
uniprotkb:P07900	ENSEMBL:ENSG00000080824|ENSEMBL:ENST00000216281|ENSEMBL:ENST00000334701|ENSEMBL:ENSP00000335153|ENSEMBL:ENSP00000216281	-	uniprotkb:P07998	ENSEMBL:ENSG00000129538|ENSEMBL:ENSP00000399493|ENSEMBL:ENSP00000381057|ENSEMBL:ENSP00000381060|ENSEMBL:ENSP00000344193|ENSEMBL:ENST00000412779|ENSEMBL:ENST00000397967|ENSEMBL:ENST00000397970|ENSEMBL:ENST00000340900	-	physical association	reactome:R-HSA-9624156	18644871|20797626
uniprotkb:P08238	ENSEMBL:ENSG00000096384|ENSEMBL:ENST00000620073|ENSEMBL:ENST00000371646|ENSEMBL:ENST00000371554|ENSEMBL:ENST00000353801|ENSEMBL:ENSP00000325875|ENSEMBL:ENSP00000360709|ENSEMBL:ENSP00000360609|ENSEMBL:ENSP00000481908	-	uniprotkb:O95613	ENSEMBL:ENST00000480896|ENSEMBL:ENST00000359568|ENSEMBL:ENSP00000352572|ENSEMBL:ENSP00000511989|ENSEMBL:ENSG00000160299	-	physical association	reactome:R-HSA-9624156	18644871|20797626
uniprotkb:P07900	ENSEMBL:ENSG00000080824|ENSEMBL:ENST00000216281|ENSEMBL:ENST00000334701|ENSEMBL:ENSP00000335153|ENSEMBL:ENSP00000216281	-	uniprotkb:P07900	ENSEMBL:ENSG00000080824|ENSEMBL:ENST00000216281|ENSEMBL:ENST00000334701|ENSEMBL:ENSP00000335153|ENSEMBL:ENSP00000216281	-	physical association	reactome:R-HSA-9624156	18644871|20797626
uniprotkb:P07900	ENSEMBL:ENSG00000080824|ENSEMBL:ENST00000216281|ENSEMBL:ENST00000334701|ENSEMBL:ENSP00000335153|ENSEMBL:ENSP00000216281	-	uniprotkb:Q99497	ENSEMBL:ENSG00000116288|ENSEMBL:ENST00000377491|ENSEMBL:ENST00000493678|ENSEMBL:ENST00000377488|ENSEMBL:ENST00000338639|ENSEMBL:ENST00000493373|ENSEMBL:ENSP00000465404|ENSEMBL:ENSP00000418770|ENSEMBL:ENSP00000366711|ENSEMBL:ENSP00000340278|ENSEMBL:ENSP00000366708	-	physical association	reactome:R-HSA-9624156	18644871|20797626
uniprotkb:P07900	ENSEMBL:ENSG00000080824|ENSEMBL:ENST00000216281|ENSEMBL:ENST00000334701|ENSEMBL:ENSP00000335153|ENSEMBL:ENSP00000216281	-	uniprotkb:Q12798	ENSEMBL:ENST00000327228|ENSEMBL:ENSP00000319052|ENSEMBL:ENSG00000177143	-	physical association	reactome:R-HSA-9624156	18644871|20797626
uniprotkb:P08238	ENSEMBL:ENSG00000096384|ENSEMBL:ENST00000620073|ENSEMBL:ENST00000371646|ENSEMBL:ENST00000371554|ENSEMBL:ENST00000353801|ENSEMBL:ENSP00000325875|ENSEMBL:ENSP00000360709|ENSEMBL:ENSP00000360609|ENSEMBL:ENSP00000481908	-	uniprotkb:Q13099	ENSEMBL:ENSG00000032742|ENSEMBL:ENSP00000323580|ENSEMBL:ENSP00000261632|ENSEMBL:ENST00000351808|ENSEMBL:ENST00000319980	-	physical association	reactome:R-HSA-9624156	18644871|20797626
uniprotkb:P08238	ENSEMBL:ENSG00000096384|ENSEMBL:ENST00000620073|ENSEMBL:ENST00000371646|ENSEMBL:ENST00000371554|ENSEMBL:ENST00000353801|ENSEMBL:ENSP00000325875|ENSEMBL:ENSP00000360709|ENSEMBL:ENSP00000360609|ENSEMBL:ENSP00000481908	-	uniprotkb:Q12798	ENSEMBL:ENST00000327228|ENSEMBL:ENSP00000319052|ENSEMBL:ENSG00000177143	-	physical association	reactome:R-HSA-9624156	18644871|20797626
uniprotkb:P07900	ENSEMBL:ENSG00000080824|ENSEMBL:ENST00000216281|ENSEMBL:ENST00000334701|ENSEMBL:ENSP00000335153|ENSEMBL:ENSP00000216281	-	uniprotkb:P13473	ENSEMBL:ENST00000371335|ENSEMBL:ENST00000200639|ENSEMBL:ENST00000434600|ENSEMBL:ENSP00000408411|ENSEMBL:ENSP00000200639|ENSEMBL:ENSP00000360386|ENSEMBL:ENSG00000005893	-	physical association	reactome:R-HSA-9624156	18644871|20797626
uniprotkb:P08238	ENSEMBL:ENSG00000096384|ENSEMBL:ENST00000620073|ENSEMBL:ENST00000371646|ENSEMBL:ENST00000371554|ENSEMBL:ENST00000353801|ENSEMBL:ENSP00000325875|ENSEMBL:ENSP00000360709|ENSEMBL:ENSP00000360609|ENSEMBL:ENSP00000481908	-	uniprotkb:Q9UBN7	ENSEMBL:ENSP00000496013|ENSEMBL:ENST00000423941|ENSEMBL:ENST00000643374|ENSEMBL:ENST00000376643|ENSEMBL:ENST00000440653|ENSEMBL:ENST00000376619|ENSEMBL:ENST00000644068|ENSEMBL:ENST00000334136|ENSEMBL:ENST00000376610|ENSEMBL:ENST00000443563|ENSEMBL:ENSP00000365804|ENSEMBL:ENSP00000392815|ENSEMBL:ENSP00000394377|ENSEMBL:ENSP00000334061|ENSEMBL:ENSP00000402751|ENSEMBL:ENSG00000094631|ENSEMBL:ENSP00000365831|ENSEMBL:ENSP00000365795|ENSEMBL:ENSP00000496046	-	physical association	reactome:R-HSA-9624156	18644871|20797626
uniprotkb:P07900	ENSEMBL:ENSG00000080824|ENSEMBL:ENST00000216281|ENSEMBL:ENST00000334701|ENSEMBL:ENSP00000335153|ENSEMBL:ENSP00000216281	-	uniprotkb:O95613	ENSEMBL:ENST00000480896|ENSEMBL:ENST00000359568|ENSEMBL:ENSP00000352572|ENSEMBL:ENSP00000511989|ENSEMBL:ENSG00000160299	-	physical association	reactome:R-HSA-9624156	18644871|20797626
uniprotkb:P60709	ENSEMBL:ENSG00000075624|ENSEMBL:ENST00000493945|ENSEMBL:ENST00000646664|ENSEMBL:ENST00000674681|ENSEMBL:ENST00000675515|ENSEMBL:ENST00000642480|ENSEMBL:ENSP00000494750|ENSEMBL:ENSP00000501862|ENSEMBL:ENSP00000502821|ENSEMBL:ENSP00000495995|ENSEMBL:ENSP00000494269	-	uniprotkb:P60709	ENSEMBL:ENSG00000075624|ENSEMBL:ENST00000493945|ENSEMBL:ENST00000646664|ENSEMBL:ENST00000674681|ENSEMBL:ENST00000675515|ENSEMBL:ENST00000642480|ENSEMBL:ENSP00000494750|ENSEMBL:ENSP00000501862|ENSEMBL:ENSP00000502821|ENSEMBL:ENSP00000495995|ENSEMBL:ENSP00000494269	-	physical association	reactome:R-HSA-202998	24243840
uniprotkb:P63261	ENSEMBL:ENSP00000459124|ENSEMBL:ENST00000707489|ENSEMBL:ENST00000707473|ENSEMBL:ENST00000576544|ENSEMBL:ENST00000707482|ENSEMBL:ENST00000680227|ENSEMBL:ENST00000707471|ENSEMBL:ENST00000681052|ENSEMBL:ENST00000707472|ENSEMBL:ENST00000575994|ENSEMBL:ENST00000707479|ENSEMBL:ENST00000570382|ENSEMBL:ENST00000680727|ENSEMBL:ENST00000615544|ENSEMBL:ENST00000575659|ENSEMBL:ENST00000707467|ENSEMBL:ENST00000707485|ENSEMBL:ENST00000575842|ENSEMBL:ENST00000707466|ENSEMBL:ENST00000571721|ENSEMBL:ENST00000707487|ENSEMBL:ENST00000707470|ENSEMBL:ENST00000679480|ENSEMBL:ENST00000573283|ENSEMBL:ENST00000707468|ENSEMBL:ENST00000681842|ENSEMBL:ENST00000575087|ENSEMBL:ENST00000707469|ENSEMBL:ENST00000707490|ENSEMBL:ENST00000679778|ENSEMBL:ENST00000707474|ENSEMBL:ENSP00000506253|ENSEMBL:ENSP00000516869|ENSEMBL:ENSP00000477968|ENSEMBL:ENSG00000291420|ENSEMBL:ENSG00000184009|ENSEMBL:ENSP00000458435|ENSEMBL:ENSP00000516879|ENSEMBL:ENSP00000516873|ENSEMBL:ENSP00000516875|ENSEMBL:ENSP00000516886|ENSEMBL:ENSP00000516887|ENSEMBL:ENSP00000459119|ENSEMBL:ENSP00000516872|ENSEMBL:ENSP00000516877|ENSEMBL:ENSP00000516874|ENSEMBL:ENSP00000516881|ENSEMBL:ENSP00000505060|ENSEMBL:ENSP00000506201|ENSEMBL:ENSP00000516882|ENSEMBL:ENSP00000516876|ENSEMBL:ENSP00000516884|ENSEMBL:ENSP00000505193|ENSEMBL:ENSP00000505235|ENSEMBL:ENSP00000516871|ENSEMBL:ENSP00000460660|ENSEMBL:ENSP00000466346|ENSEMBL:ENSP00000458162|ENSEMBL:ENSP00000460464|ENSEMBL:ENSP00000461672|ENSEMBL:ENSP00000516870|ENSEMBL:ENSP00000506126	-	uniprotkb:P60709	ENSEMBL:ENSG00000075624|ENSEMBL:ENST00000493945|ENSEMBL:ENST00000646664|ENSEMBL:ENST00000674681|ENSEMBL:ENST00000675515|ENSEMBL:ENST00000642480|ENSEMBL:ENSP00000494750|ENSEMBL:ENSP00000501862|ENSEMBL:ENSP00000502821|ENSEMBL:ENSP00000495995|ENSEMBL:ENSP00000494269	-	physical association	reactome:R-HSA-202998	24243840
ChEBI:456216	-	-	uniprotkb:P60709	ENSEMBL:ENSG00000075624|ENSEMBL:ENST00000493945|ENSEMBL:ENST00000646664|ENSEMBL:ENST00000674681|ENSEMBL:ENST00000675515|ENSEMBL:ENST00000642480|ENSEMBL:ENSP00000494750|ENSEMBL:ENSP00000501862|ENSEMBL:ENSP00000502821|ENSEMBL:ENSP00000495995|ENSEMBL:ENSP00000494269	-	physical association	reactome:R-HSA-202998	24243840
